Effective Refractance index n(r,f). f =  2.00000000000000000Mode #  1
Радиус 	                n(r,f) 	
1.87000000000000004E-1	1.17096770025548707E+0	
1.87500000000000004E-1	1.17094433439540283E+0	
1.88000000000000004E-1	1.17092089011651150E+0	
1.88500000000000004E-1	1.17089739030111261E+0	
1.89000000000000004E-1	1.17087383057907581E+0	
1.89500000000000004E-1	1.17085020387938170E+0	
1.90000000000000004E-1	1.17082651290291934E+0	
1.90500000000000004E-1	1.17080275931892999E+0	
1.91000000000000004E-1	1.17077893438715298E+0	
1.91500000000000004E-1	1.17075505391886841E+0	
1.92000000000000004E-1	1.17073110917381560E+0	
1.92500000000000004E-1	1.17070710182123580E+0	
1.93000000000000004E-1	1.17068302312086834E+0	
1.93500000000000004E-1	1.17065888888399332E+0	
1.94000000000000004E-1	1.17063469037035005E+0	
1.94500000000000004E-1	1.17061042924917980E+0	
1.95000000000000004E-1	1.17058609678022189E+0	
1.95500000000000004E-1	1.17056170440462607E+0	
1.96000000000000004E-1	1.17053724505137293E+0	
1.96500000000000004E-1	1.17051273016161223E+0	
1.97000000000000004E-1	1.17048814392406386E+0	
1.97500000000000004E-1	1.17046349777987760E+0	
1.98000000000000004E-1	1.17043878465803400E+0	
1.98500000000000004E-1	1.17041401162955251E+0	
1.99000000000000004E-1	1.17038917162341369E+0	
1.99500000000000004E-1	1.17036426463961755E+0	
2.00000000000000004E-1	1.17033929774918350E+0	
2.00500000000000004E-1	1.17031427095211155E+0	
2.01000000000000004E-1	1.17028917717738228E+0	
2.01500000000000004E-1	1.17026401205486535E+0	
2.02000000000000004E-1	1.17023879139584085E+0	
2.02500000000000004E-1	1.17021350375915902E+0	
2.03000000000000004E-1	1.17018815621583930E+0	
2.03500000000000004E-1	1.17016273732473191E+0	
2.04000000000000004E-1	1.17013726289711696E+0	
2.04500000000000004E-1	1.17011171712171435E+0	
2.05000000000000004E-1	1.17008610873878475E+0	
2.05500000000000004E-1	1.17006043607908690E+0	
2.06000000000000004E-1	1.17003469644173174E+0	
2.06500000000000004E-1	1.17000890126786901E+0	
2.07000000000000004E-1	1.16998303474621862E+0	
2.07500000000000004E-1	1.16995710831793032E+0	
2.08000000000000004E-1	1.16993111491198471E+0	
2.08500000000000004E-1	1.16990506159940119E+0	
2.09000000000000004E-1	1.16987894130916034E+0	
2.09500000000000004E-1	1.16985275404126217E+0	
2.10000000000000004E-1	1.16982650686672610E+0	
2.10500000000000004E-1	1.16980019978555213E+0	
2.11000000000000004E-1	1.16977381865570140E+0	
2.11500000000000004E-1	1.16974738032010187E+0	
2.12000000000000004E-1	1.16972087230595592E+0	
2.12500000000000004E-1	1.16969430438517207E+0	
2.13000000000000004E-1	1.16966767218761998E+0	
2.13500000000000004E-1	1.16964097738254091E+0	
2.14000000000000004E-1	1.16961421122967417E+0	
2.14500000000000004E-1	1.16958738517016953E+0	
2.15000000000000004E-1	1.16956049650313790E+0	
2.15500000000000004E-1	1.16953353648831861E+0	
2.16000000000000004E-1	1.16950651656686142E+0	
2.16500000000000004E-1	1.16947943673876632E+0	
2.17000000000000005E-1	1.16945228993301390E+0	
2.17500000000000005E-1	1.16942507614960416E+0	
2.18000000000000005E-1	1.16939779538853709E+0	
2.18500000000000005E-1	1.16937046179185155E+0	
2.19000000000000005E-1	1.16934304977635891E+0	
2.19500000000000005E-1	1.16931558222435872E+0	
2.20000000000000005E-1	1.16928804332457086E+0	
2.20500000000000005E-1	1.16926044888827543E+0	
2.21000000000000005E-1	1.16923278310419235E+0	
2.21500000000000005E-1	1.16920506178360170E+0	
2.22000000000000005E-1	1.16917726911522339E+0	
2.22500000000000005E-1	1.16914940946918775E+0	
2.23000000000000005E-1	1.16912148991651421E+0	
2.23500000000000005E-1	1.16909350338618334E+0	
2.24000000000000005E-1	1.16906544987819515E+0	
2.24500000000000005E-1	1.16903733646356906E+0	
2.25000000000000005E-1	1.16900916314230507E+0	
2.25500000000000005E-1	1.16898091577236433E+0	
2.26000000000000005E-1	1.16895260412565535E+0	
2.26500000000000005E-1	1.16892423694243881E+0	
2.27000000000000005E-1	1.16889579841143460E+0	
2.27500000000000005E-1	1.16886729727290341E+0	
2.28000000000000005E-1	1.16883873185760397E+0	
2.28500000000000005E-1	1.16881009946464721E+0	
2.29000000000000005E-1	1.16878140009403313E+0	
2.29500000000000005E-1	1.16875264081678115E+0	
2.30000000000000005E-1	1.16872381456187184E+0	
2.30500000000000005E-1	1.16869492840032462E+0	
2.31000000000000005E-1	1.16866597526112009E+0	
2.31500000000000005E-1	1.16863695077412789E+0	
2.32000000000000005E-1	1.16860787075062812E+0	
2.32500000000000005E-1	1.16857872374947104E+0	
2.33000000000000005E-1	1.16854950540052628E+0	
2.33500000000000005E-1	1.16852022714494363E+0	
2.34000000000000005E-1	1.16849088898272308E+0	
2.34500000000000005E-1	1.16846147677182577E+0	
2.35000000000000005E-1	1.16843200465429057E+0	
2.35500000000000005E-1	1.16840247263011746E+0	
2.36000000000000005E-1	1.16837286655726761E+0	
2.36500000000000005E-1	1.16834320057777985E+0	
2.37000000000000005E-1	1.16831347032152385E+0	
2.37500000000000005E-1	1.16828367038672145E+0	
2.38000000000000005E-1	1.16825381324617023E+0	
2.38500000000000005E-1	1.16822388205694225E+0	
2.39000000000000005E-1	1.16819389533120672E+0	
2.39500000000000005E-1	1.16816383725768352E+0	
2.40000000000000005E-1	1.16813371927752242E+0	
2.40500000000000005E-1	1.16810352287855423E+0	
2.41000000000000005E-1	1.16807327801409791E+0	
2.41500000000000005E-1	1.16804295910096483E+0	
2.42000000000000005E-1	1.16801257591106352E+0	
2.42500000000000005E-1	1.16798213718465464E+0	
2.43000000000000005E-1	1.16795162003943868E+0	
2.43500000000000005E-1	1.16792104298758481E+0	
2.44000000000000005E-1	1.16789040602909304E+0	
2.44500000000000005E-1	1.16785969502192453E+0	
2.45000000000000005E-1	1.16782892410811811E+0	
2.45500000000000005E-1	1.16779809328767379E+0	
2.46000000000000005E-1	1.16776718404842238E+0	
2.46500000000000005E-1	1.16773621927266341E+0	
2.47000000000000005E-1	1.16770519022013620E+0	
2.47500000000000005E-1	1.16767408711893224E+0	
2.48000000000000005E-1	1.16764292411109039E+0	
2.48500000000000005E-1	1.16761170119661062E+0	
2.49000000000000005E-1	1.16758040423345411E+0	
2.49500000000000005E-1	1.16754904736365970E+0	
2.50000000000000005E-1	1.16751762621709705E+0	
2.50500000000000005E-1	1.16748613539198799E+0	
2.51000000000000005E-1	1.16745458029011069E+0	
2.51500000000000005E-1	1.16742296965172582E+0	
2.52000000000000005E-1	1.16739128059453387E+0	
2.52500000000000005E-1	1.16735953163070402E+0	
2.53000000000000005E-1	1.16732771131908650E+0	
2.53500000000000005E-1	1.16729583547096142E+0	
2.54000000000000005E-1	1.16726389264517902E+0	
2.54500000000000005E-1	1.16723187847160895E+0	
2.55000000000000005E-1	1.16719979732038155E+0	
2.55500000000000005E-1	1.16716765626251626E+0	
2.56000000000000005E-1	1.16713544822699364E+0	
2.56500000000000005E-1	1.16710318028483312E+0	
2.57000000000000005E-1	1.16707083829399585E+0	
2.57500000000000005E-1	1.16703843639652067E+0	
2.58000000000000005E-1	1.16700597022227726E+0	
2.58500000000000005E-1	1.16697342999935710E+0	
2.59000000000000005E-1	1.16694083423992938E+0	
2.59500000000000005E-1	1.16690816713271399E+0	
2.60000000000000005E-1	1.16687544011886070E+0	
2.60500000000000005E-1	1.16684264175721975E+0	
2.61000000000000005E-1	1.16680978078805181E+0	
2.61500000000000005E-1	1.16677684847109621E+0	
2.62000000000000005E-1	1.16674386061763304E+0	
2.62500000000000005E-1	1.16671079434536279E+0	
2.63000000000000005E-1	1.16667767523747406E+0	
2.63500000000000005E-1	1.16664448208090858E+0	
2.64000000000000006E-1	1.16661122464757486E+0	
